_id,Etunimi,Sukunimi,createdAt,updatedAt,__v,created_by,updated_by,Teokset,Aakkostus,Nimi,esittely,syntymavuosi
5f5e9e60fb8f29784608bbab,Alvar,Gullichsen,2020-09-13T22:34:08.802Z,2020-09-28T23:58:46.144Z,0,5f5e939f267b3176509901b3,5f5e939f267b3176509901b3,"[{""$oid"":""5f5e9efafb8f29784608bbad""},{""$oid"":""5f5e9faafb8f29784608bbae""},{""$oid"":""5f5ea3bb271cb47961a394d6""}]",Gullichsen,Alvar Gullichsen,Alvar Gullichsen on Suomen taiteessa ilmiö. Hänellä on sekä ideoita että taito varioida itseään ja ympäröivää yhteiskuntaa. Hänen töissään mielikuvitus ja todellisuus näyttävät pitkää nenää toisilleen.,1961
5f5e9e98fb8f29784608bbac,Bruno,Maximus,2020-09-13T22:35:04.383Z,2020-09-28T19:06:28.710Z,0,5f5e939f267b3176509901b3,5f5e939f267b3176509901b3,"[{""$oid"":""5f5ea450271cb47961a394d7""},{""$oid"":""5f5ea525271cb47961a394d8""}]",Maximus,Bruno Maximus,"Taiteilija on syntynyt Jyväskylässä, mutta asunut ja työskennellyt eri puolilla maailmaa, mm. Englannissa, Meksikossa ja Brasiliassa. Tyylisuuntaansa hän kutsuu hyperrealismiksi. Näyttelyitä vuodesta 1992 alkaen.",1970
5f5ea5bd4841af799c439217,Emmi,Vuorinen,2020-09-13T23:05:33.889Z,2020-09-28T19:07:18.592Z,0,5f5e939f267b3176509901b3,5f5e939f267b3176509901b3,[],Vuorinen,Emmi Vuorinen,"Emmi Vuorinen on monipuolinen kuvataiteilija, joka on viime vuosina keskittynyt grafiikkaan. Hän käyttää grafiikassaan useita menetelmiä, ja hänen työnsä ovat tunnelmaltaan ajattomia, intensiivisiä ja hetkessä kiinni. Useita ryhmänäyttelyitä vuodesta 1979 ja yksityisnäyttelyitä vuodesta 1999 lähtien.",1948
5f5ea931f5cef979d414cfdf,,,2020-09-13T23:20:17.273Z,2020-09-28T19:08:06.660Z,0,5f5e939f267b3176509901b3,5f5e939f267b3176509901b3,[],Riippa,Esa Riippa,"Esa Riippa edustaa perinteistä taidegrafiikkaa. Hänen työnsä on usein salaperäistä surrealismia, värillisiä vedoksia muutamalla laatalla, joissa etsaus yhdistyy akvatintaan. Palkittu graafikko on pitänyt useita yksityisnäyttelyitä ja on edustettuna useissa kokoelmissa kotimaassa ja ulkomailla.",
5f5eab40f5cef979d414cfe1,,,2020-09-13T23:29:04.098Z,2020-09-28T19:09:00.499Z,0,5f5e939f267b3176509901b3,5f5e939f267b3176509901b3,[],Railo,Esko Railo,"Esko Railo on kankaanpään taidekoulusta vuonna 1986 valmistunut taidegraafikko, jonka töitä on nähty lukuissa näyttelyissä kotimaassa ja muualla Euroopassa. Railon töitä on useissa julkisissa kokoelmissa ja mm. valtion kokoelmissa.",1961
5f5eab8ff5cef979d414cfe3,,,2020-09-13T23:30:23.701Z,2020-09-28T19:09:49.776Z,0,5f5e939f267b3176509901b3,5f5e939f267b3176509901b3,[],Augustson,Göran Augustson,"Göran Augustson on San Vannin perillisiä, konstruktivisti, jolle suora viiva, selkeys ja järjestys ovat ominaisia.",1936
5f68967ae380b82d111d51f6,,,2020-09-21T12:03:06.638Z,2020-09-28T19:27:21.769Z,0,5f688f48e380b82d111d51f5,5f5e939f267b3176509901b3,[],Polameri,Seppo Polameri,Kuvittaja sekä graafinen taiteilija Seppo Polameri on tunnetuimpia luonnonkuvaajiamme. Hänet on usein palkittu kuvituksistaan ja muista graafisista töistään. Hänen töitään on ollut esillä useissa näyttelyissä Suomessa ja ulkomailla.,1936
5f6896afe380b82d111d51f7,,,2020-09-21T12:03:59.188Z,2020-09-28T19:13:01.047Z,0,5f688f48e380b82d111d51f5,5f5e939f267b3176509901b3,[],Kaila,Kaarina Kaila,Kaarina Kaila on etenkin kuvituksistaan ja renesanssin aiheista vaikutuksia saanut taidemaalari. Yksityisnäyttelyitä vuodesta 1971 alkaen. Kaarina Kaila työskentelee osan vuodesta Venetsiassa.,1941
5f6896cae380b82d111d51f8,,,2020-09-21T12:04:26.961Z,2020-09-28T19:29:27.879Z,0,5f688f48e380b82d111d51f5,5f5e939f267b3176509901b3,[],Kivinen,Tiina Kivinen,"Tiina Kivinen on metalligrafiikkaan erikoistunut nuori taiteilija. Vedoksissaan hän käyttää mezzotinto-tekniikkaa, jolla hän saa aikaan syvän, sametinpehmeän mustan sävyn. Lukuisia yksityis-ja yhteisnäyttelyitä.",1971
5f6896e5e380b82d111d51f9,,,2020-09-21T12:04:53.921Z,2020-09-28T19:13:59.364Z,0,5f688f48e380b82d111d51f5,5f5e939f267b3176509901b3,[],Sirviö,Kaisu Sirviö,"Kaisu Sirviö on helsinkiläinen taidegraafikko. Hänen välineensä on kivilitografia, teknisesti vaativa ja työläs menetelmä. Taiteilijaa kiehtoo litografiassa valöörien rikkaus. Kaisu Sirviön kädenjälki on hyvin maalauksellista, hän luottaa välineensä mahtavaan sävykirjoon.",
5f689709e380b82d111d51fa,,,2020-09-21T12:05:29.647Z,2020-09-21T12:05:29.658Z,0,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,[],Paunu,Päivi Paunu,,
5f689739e380b82d111d51fb,,,2020-09-21T12:06:17.432Z,2021-02-18T00:32:27.338Z,0,5f688f48e380b82d111d51f5,5f5e939f267b3176509901b3,[],Lempinen,Päivi Lempinen,,
5f689751e380b82d111d51fc,,,2020-09-21T12:06:41.429Z,2020-09-21T12:06:41.439Z,0,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,[],Karlsson,Onerva Karlsson,,
5f68976ae380b82d111d51fd,,,2020-09-21T12:07:06.387Z,2020-09-21T12:07:06.398Z,0,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,[],Marmonnier,Anne Marmonnier,,
